eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.35310119722181355,0.5596521565563198,0.711111111111111,0.7623058338621815,1.3219579904185013,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065501,0,2
3,[7],0.7777777777777778,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.7777777777777778,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.40091038349124775,0.6354279239833658,0.7333333333333332,0.6843108337660271,1.3197387577493929,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065502,1,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.39032636158648837,0.6186526461575108,0.711111111111111,0.7623058338621813,1.3809584800196923,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065503,2,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3356438967456194,0.5319829899377304,0.6666666666666666,0.8679700005769251,1.3999529905146555,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065504,3,2
3,[4],0.4444444444444444,[1],0.0,0.0,2.0,3.169925001442312,[2],[2],2,2,joint,1.0,1,0.4444444444444444,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2289517058722014,0.36287986828357893,0.7555555555555554,0.6566416671474377,1.0195215354310165,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065505,4,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.36088485928449654,0.5719889690439581,0.711111111111111,0.7455305560363266,1.3175195250802845,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065506,5,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.20371074333332428,0.32287388917735116,0.6444444444444445,0.9124144450213695,1.2352883341987209,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065507,6,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3493904538884893,0.5537707675231999,0.6,1.0013033339102584,1.5550741014334581,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065508,7,2
3,[4],0.4444444444444444,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.4444444444444444,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2289517058722014,0.36287986828357893,0.7555555555555554,0.6566416671474377,1.0195215354310165,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065509,8,2
3,[7],0.7777777777777778,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.7777777777777778,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.24093590769799902,0.38187437877854213,0.6888888888888889,0.8067502783066256,1.188624657085168,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065510,9,2
