eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075509,1,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075510,2,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075511,3,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075512,4,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075513,5,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075514,6,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075515,7,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075516,8,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075517,9,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075518,10,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075519,11,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075520,12,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075521,13,2
4,[4],0.25,[4],1.0,2.0,1.0,2.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",4,4,joint,4.0,4,0.25,1.0,1.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.0,1.0,0.0,2.0,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075522,14,2
